timestamps,TP9,AF7,AF8,TP10,Right AUX
1606131276.938,0.000,0.000,0.000,0.000,0.000
1606131276.941,-1.465,-0.488,-0.488,-3.418,0.000
1606131276.945,5.371,-0.488,0.000,12.207,0.000
1606131276.949,-0.977,0.977,0.000,3.418,0.000
1606131276.953,-4.883,-9.277,-4.883,-29.297,0.000
1606131276.957,217.773,-8.789,6.348,514.160,0.000
1606131276.961,274.902,-8.301,2.441,742.188,0.000
1606131276.965,-110.352,-36.621,-29.785,-159.668,0.000
1606131276.969,-372.070,-51.758,-50.293,-868.652,0.000
1606131276.973,-186.523,-32.715,-42.480,-500.000,0.000
1606131276.977,199.707,-10.742,-16.602,468.262,0.000
1606131276.981,286.133,-11.230,-16.113,768.066,0.000
1606131276.984,-56.152,-29.297,-34.668,-32.227,0.000
1606131276.988,-357.422,-47.852,-52.246,-815.918,0.000
1606131276.992,-228.027,-38.574,-42.480,-584.961,0.000
1606131276.996,170.410,-13.672,-6.836,395.020,0.000
1606131277.000,307.617,0.977,-4.395,814.453,0.000
1606131277.004,-2.930,-16.602,-33.203,107.910,0.000
1606131277.008,-331.055,-44.434,-46.875,-740.234,0.000
1606131277.012,-262.207,-43.945,-36.621,-657.715,0.000
1606131277.016,132.324,-16.113,-12.207,297.852,0.000
1606131277.020,318.848,0.977,-6.836,830.078,0.000
1606131277.023,46.387,-23.438,-25.391,231.445,0.000
1606131277.027,-308.105,-50.293,-41.016,-687.500,0.000
1606131277.031,-297.363,-50.293,-42.969,-756.836,0.000
1606131277.035,82.520,-22.461,-20.020,172.363,0.000
1606131277.039,310.547,-3.418,-3.418,812.012,0.000
1606131277.043,87.402,-16.602,-16.113,340.332,0.000
1606131277.047,-288.574,-45.410,-37.109,-604.492,0.000
1606131277.051,-331.055,-45.410,-41.992,-805.176,0.000
1606131277.055,26.855,9.277,-30.273,53.223,0.000
1606131277.059,290.527,24.902,-18.555,773.438,0.000
1606131277.063,129.883,-26.367,-17.090,444.824,0.000
1606131277.066,-249.512,-55.664,-30.762,-511.230,0.000
1606131277.070,-353.516,-56.152,-31.738,-850.098,0.000
1606131277.074,-23.926,-35.156,-15.625,-77.637,0.000
1606131277.078,286.621,-10.742,2.441,733.398,0.000
1606131277.082,174.316,-19.043,-5.371,536.133,0.000
1606131277.086,-220.703,-47.363,-40.039,-438.477,0.000
1606131277.090,-362.793,-52.734,-47.852,-886.230,0.000
1606131277.094,-56.641,-28.320,-29.785,-207.520,0.000
1606131277.098,269.531,-6.348,-14.648,667.969,0.000
1606131277.102,207.031,-3.418,-22.461,624.023,0.000
1606131277.106,-185.547,-32.227,-47.852,-325.684,0.000
1606131277.109,-381.348,-58.594,-49.316,-882.812,0.000
1606131277.113,-129.395,-42.969,-28.809,-332.520,0.000
1606131277.117,225.098,-20.020,-12.695,586.914,0.000
1606131277.121,227.539,-19.043,-15.625,688.477,0.000
1606131277.125,-153.320,-42.969,-37.598,-214.844,0.000
1606131277.129,-395.020,-59.082,-53.711,-869.629,0.000
1606131277.133,-189.453,-48.340,-40.039,-445.801,0.000
1606131277.137,190.430,-20.020,-15.137,506.348,0.000
1606131277.141,253.418,-16.113,-13.184,742.188,0.000
1606131277.145,-98.145,-43.457,-37.109,-91.797,0.000
1606131277.148,-371.094,-59.082,-41.504,-832.520,0.000
1606131277.152,-220.215,-39.551,-27.344,-548.340,0.000
1606131277.156,166.504,-7.324,-13.672,414.551,0.000
1606131277.160,285.645,-4.883,-8.301,780.762,0.000
1606131277.164,-46.875,-32.227,-40.527,34.668,0.000
1606131277.168,-363.281,-55.664,-54.688,-783.691,0.000
1606131277.172,-270.020,-51.270,-41.992,-645.996,0.000
1606131277.176,125.977,-24.414,-16.602,320.801,0.000
1606131277.180,291.504,-13.184,-5.371,807.617,0.000
1606131277.184,1.465,-30.273,-21.484,166.504,0.000
1606131277.188,-344.238,-50.293,-41.504,-723.145,0.000
1606131277.191,-308.105,-44.434,-41.504,-736.816,0.000
1606131277.195,85.938,-17.578,-23.926,211.426,0.000
