timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606143724.934,0.000,0.000,0.000,0.000,0.000,0
1606143724.938,-1.465,-0.488,-0.488,-3.906,0.000,0
1606143724.942,-3.906,-1.465,-1.465,-9.277,0.000,0
1606143724.946,27.344,3.906,2.930,74.707,0.000,0
1606143724.950,-114.258,-20.020,-16.113,-338.867,0.000,0
1606143724.954,44.434,-38.086,-27.832,62.988,0.000,0
1606143724.958,406.738,-16.113,-11.230,-888.184,0.000,0
1606143724.962,148.438,-21.973,-31.250,543.457,0.000,0
1606143724.965,-346.680,-39.551,-61.523,-709.473,0.000,0
1606143724.969,-429.688,-46.875,-55.664,-1000.000,0.000,0
1606143724.973,28.809,-32.715,-28.809,8.301,0.000,0
1606143724.977,405.273,-4.395,-7.324,-934.082,0.000,0
1606143724.981,223.145,-10.254,-9.766,654.785,0.000,0
1606143724.985,-284.668,-45.898,-37.109,-541.504,0.000,0
1606143724.989,-443.359,-47.363,-49.316,-1000.000,0.000,0
1606143724.993,-25.879,-21.973,-30.273,-144.043,0.000,0
1606143724.997,390.625,-7.812,-2.930,-990.234,0.000,0
1606143725.001,277.344,-13.184,-4.883,761.719,0.000,0
1606143725.004,-231.445,-30.762,-33.691,-397.461,0.000,0
1606143725.008,-461.426,-39.062,-51.758,-1000.000,0.000,0
1606143725.012,-102.539,-33.203,-42.480,-325.684,0.000,0
1606143725.016,348.145,-8.301,-17.090,907.227,0.000,0
1606143725.020,308.594,-12.207,-22.949,853.516,0.000,0
1606143725.024,-190.918,-42.480,-44.434,-293.457,0.000,0
1606143725.028,-469.238,-48.828,-44.922,-1000.000,0.000,0
1606143725.032,-167.969,-38.574,-30.762,-472.656,0.000,0
1606143725.036,307.129,-23.438,-10.254,776.367,0.000,0
1606143725.040,348.633,-13.672,1.465,948.242,0.000,0
1606143725.044,-135.742,-28.809,-30.273,-167.480,0.000,0
1606143725.047,-474.121,-52.734,-61.523,-1000.000,0.000,0
1606143725.051,-224.121,-20.020,-41.992,-600.586,0.000,0
1606143725.055,269.043,26.367,-14.160,629.395,0.000,0
1606143725.059,367.676,9.277,-12.207,-981.934,0.000,0
1606143725.063,-70.801,-33.203,-25.879,-41.992,0.000,0
1606143725.067,-444.336,-55.664,-42.969,-1000.000,0.000,0
1606143725.071,-278.320,-48.828,-36.621,-729.980,0.000,0
