timestamps,TP9,AF7,AF8,TP10,Right AUX
1623663582.907,-44.434,-39.551,-28.809,-22.949,0.000
1623663582.911,-25.391,-30.273,-25.879,-25.879,0.000
1623663582.915,-18.555,-24.902,-18.066,-27.344,0.000
1623663582.918,-27.832,-26.855,-15.625,-26.855,0.000
1623663582.922,-36.133,-30.273,-23.926,-35.156,0.000
1623663582.926,-36.133,-31.738,-26.855,-30.762,0.000
1623663582.930,-26.855,-29.785,-20.020,-20.996,0.000
1623663582.934,-28.809,-7.324,-28.809,-27.344,0.000
1623663582.938,-25.879,-18.555,-33.691,-24.902,0.000
1623663582.942,-27.344,-39.062,-31.250,-24.414,0.000
1623663582.946,-30.273,-40.527,-30.273,-28.809,0.000
1623663582.950,-31.250,-40.039,-26.367,-27.344,0.000
1623663582.954,-16.602,-30.762,-23.438,-21.484,0.000
1623663582.958,-8.789,-37.598,-16.602,-17.090,0.000
1623663582.961,-31.250,-43.945,-20.996,-20.020,0.000
1623663582.965,-47.363,-46.387,-37.598,-22.949,0.000
1623663582.969,-48.340,-43.457,-36.621,-33.203,0.000
1623663582.973,-49.316,-33.691,-28.320,-47.852,0.000
1623663582.977,-41.992,-33.691,-29.297,-52.246,0.000
1623663582.981,-38.574,-20.996,-39.551,-49.316,0.000
1623663582.985,-35.645,-30.273,-40.527,-45.898,0.000
1623663582.989,-15.625,-13.672,-30.273,-25.879,0.000
1623663582.993,-23.926,2.930,-30.762,-34.668,0.000
1623663582.997,-47.363,-37.598,-39.062,-65.918,0.000
1623663583.000,-33.203,-35.156,-42.969,-57.129,0.000
1623663583.004,-32.715,-22.461,-37.109,-45.898,0.000
1623663583.008,-47.852,-27.344,-30.762,-44.434,0.000
1623663583.012,-50.293,-40.527,-24.902,-50.781,0.000
1623663583.016,-62.988,-51.270,-27.344,-56.641,0.000
1623663583.020,-61.523,-41.016,-28.320,-35.645,0.000
1623663583.024,-39.551,-32.715,-29.785,-30.762,0.000
1623663583.028,-29.785,-7.812,-31.250,-42.969,0.000
1623663583.032,-28.809,-7.324,-34.668,-39.551,0.000
1623663583.036,-34.180,-27.344,-39.062,-35.645,0.000
1623663583.040,-23.438,-20.020,-39.551,-28.809,0.000
1623663583.043,-16.602,-20.996,-35.645,-27.344,0.000
1623663583.047,-13.184,-26.367,-25.879,-32.715,0.000
1623663583.051,-18.555,-36.133,-26.367,-27.344,0.000
1623663583.055,-45.410,-44.434,-23.926,-27.832,0.000
1623663583.059,-42.480,-35.645,-22.949,-26.367,0.000
1623663583.063,-23.438,-20.996,-31.738,-18.066,0.000
1623663583.067,-18.555,-18.555,-38.574,-20.996,0.000
1623663583.071,-16.602,-27.344,-33.691,-27.344,0.000
1623663583.075,-19.531,-28.809,-28.320,-26.367,0.000
1623663583.079,-20.996,-26.367,-27.832,-32.715,0.000
1623663583.083,-15.625,-2.441,-26.367,-33.691,0.000
1623663583.086,-26.855,3.906,-22.461,-24.414,0.000
1623663583.090,-30.273,-25.391,-25.879,-21.484,0.000
1623663583.094,-27.344,-38.574,-47.852,-31.738,0.000
1623663583.098,-25.391,-38.574,-37.598,-35.156,0.000
1623663583.102,-21.973,-34.180,-24.902,-35.645,0.000
1623663583.106,-6.836,-32.227,-33.691,-32.227,0.000
1623663583.110,2.930,-31.738,-28.809,-28.320,0.000
1623663583.114,-10.742,-31.250,-29.297,-24.902,0.000
1623663583.118,-15.625,-29.785,-32.715,-25.879,0.000
1623663583.122,-1.465,3.418,-25.391,-22.949,0.000
1623663583.125,-0.977,-5.371,-25.879,-22.949,0.000
1623663583.129,-23.438,-40.527,-33.691,-30.762,0.000
1623663583.133,-33.691,-39.551,-37.109,-26.367,0.000
1623663583.137,-32.227,-35.645,-34.668,-31.738,0.000
1623663583.141,-31.738,-37.598,-33.203,-37.109,0.000
1623663583.145,-31.250,-39.551,-37.109,-28.320,0.000
1623663583.149,-22.949,-24.414,-33.691,-18.555,0.000
1623663583.153,-22.461,-31.738,-24.902,-21.484,0.000
1623663583.157,-33.691,-40.039,-17.090,-27.344,0.000
1623663583.161,-35.156,-31.250,-20.508,-20.020,0.000
1623663583.165,-42.480,-31.738,-32.715,-34.668,0.000
1623663583.168,-62.500,-29.297,-35.645,-54.199,0.000
1623663583.172,-54.199,-34.668,-38.086,-51.758,0.000
1623663583.176,-54.199,-31.738,-42.480,-62.988,0.000
1623663583.180,-51.758,-24.414,-46.875,-73.242,0.000
1623663583.184,-54.199,-36.133,-47.363,-63.477,0.000
1623663583.188,-62.500,-32.715,-38.574,-47.852,0.000
1623663583.192,-47.363,-23.438,-38.574,-41.504,0.000
1623663583.196,-34.668,-15.137,-40.527,-40.527,0.000
1623663583.200,-39.062,-22.461,-33.203,-40.039,0.000
1623663583.204,-49.316,-37.109,-24.902,-36.621,0.000
1623663583.208,-51.270,-40.527,-16.113,-23.926,0.000
1623663583.211,-31.738,-45.898,-22.461,-24.902,0.000
1623663583.215,-18.555,-30.273,-34.668,-33.203,0.000
1623663583.219,-34.180,-24.414,-34.668,-35.156,0.000
1623663583.223,-41.992,-30.762,-30.273,-34.180,0.000
1623663583.227,-33.691,-23.926,-29.785,-26.367,0.000
1623663583.231,-22.461,-23.926,-30.273,-22.949,0.000
1623663583.235,-15.625,-29.785,-27.344,-30.273,0.000
1623663583.239,-15.137,-31.250,-26.855,-25.391,0.000
1623663583.243,-18.066,-34.668,-31.250,-20.020,0.000
1623663583.247,-27.832,-39.062,-44.922,-31.250,0.000
1623663583.250,-28.809,-30.273,-43.457,-36.621,0.000
1623663583.254,-25.879,-22.949,-28.809,-29.297,0.000
1623663583.258,-35.156,-35.156,-33.691,-36.621,0.000
1623663583.262,-27.344,-36.133,-30.273,-40.039,0.000
1623663583.266,-16.113,-41.504,-26.367,-27.832,0.000
1623663583.270,-23.926,-41.992,-42.480,-30.762,0.000
1623663583.274,-23.926,-27.832,-41.992,-34.668,0.000
1623663583.278,-25.879,-35.156,-31.738,-32.715,0.000
1623663583.282,-41.504,-40.039,-31.738,-40.039,0.000
1623663583.286,-35.156,-44.922,-30.762,-40.039,0.000
1623663583.290,-23.926,-42.969,-30.273,-33.691,0.000
1623663583.293,-27.344,-24.414,-26.367,-29.297,0.000
1623663583.297,-35.645,-19.043,-19.043,-34.668,0.000
1623663583.301,-35.645,-31.250,-25.879,-44.434,0.000
1623663583.305,-32.227,-37.109,-36.133,-48.340,0.000
1623663583.309,-31.250,-27.344,-35.156,-35.645,0.000
1623663583.313,-32.227,-28.320,-34.668,-26.367,0.000
1623663583.317,-47.363,-34.180,-36.133,-40.039,0.000
1623663583.321,-43.457,-31.250,-25.879,-41.992,0.000
1623663583.325,-24.902,-33.203,-15.137,-31.738,0.000
1623663583.329,-23.926,-36.133,-23.926,-30.762,0.000
1623663583.333,-27.832,-36.621,-30.273,-34.668,0.000
1623663583.336,-30.273,-29.297,-25.879,-40.039,0.000
1623663583.340,-30.273,-29.297,-24.414,-41.992,0.000
1623663583.344,-36.621,-32.227,-20.508,-30.762,0.000
1623663583.348,-48.828,-35.156,-27.832,-29.297,0.000
1623663583.352,-42.969,-43.945,-34.180,-44.434,0.000
1623663583.356,-38.086,-42.969,-34.668,-49.316,0.000
1623663583.360,-40.527,-38.086,-38.086,-39.551,0.000
1623663583.364,-39.551,3.906,-27.832,-33.691,0.000
1623663583.368,-41.504,17.578,-21.973,-33.691,0.000
1623663583.372,-44.434,-34.180,-27.344,-35.645,0.000
1623663583.375,-33.203,-42.480,-20.508,-27.344,0.000
1623663583.379,-29.297,-28.320,-7.812,-20.020,0.000
1623663583.383,-36.621,-20.508,-7.812,-25.391,0.000
1623663583.387,-28.320,-21.973,-16.602,-22.949,0.000
1623663583.391,-27.832,-25.879,-27.344,-20.020,0.000
1623663583.395,-37.109,-29.785,-30.762,-20.020,0.000
1623663583.399,-24.902,-41.016,-28.320,-20.508,0.000
1623663583.403,-17.578,-28.809,-26.855,-31.250,0.000
1623663583.407,-13.184,-26.367,-22.461,-31.738,0.000
1623663583.411,-20.996,-33.691,-19.043,-30.273,0.000
1623663583.415,-42.480,-32.715,-21.973,-37.109,0.000
1623663583.418,-46.387,-31.738,-23.926,-38.086,0.000
1623663583.422,-29.297,-17.578,-15.625,-20.996,0.000
