,type,image_path,response,t_presented,t_presented_utc,t_answered,t_answered_utc
0,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_5.PNG,up,0.03159713399998054,1623672269.1403286,20.366673295999988,1623672289.4754052
1,code,/home/erb/.eegnb/tmp/materials.final/comp/final-7-1.png,down,25.40709917700002,1623672294.5158305,53.26167538999999,1623672322.3704069
2,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-1.png,up,58.31379120999998,1623672327.4225225,114.47655533,1623672383.5852866
3,code,/home/erb/.eegnb/tmp/materials.final/comp/final-4-1.png,down,119.52838722000001,1623672388.6371188,175.538605787,1623672444.6473374
4,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-2.png,down,180.59297382100004,1623672449.7017055,235.067058734,1623672504.1757903
5,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_9.PNG,up,240.09139421799995,1623672509.2001257,259.83486947399996,1623672528.9436011
6,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_20.PNG,up,264.867146828,1623672533.9758787,282.13547058600005,1623672551.244202
7,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-3.png,up,287.177095501,1623672556.2858272,351.164853831,1623672620.2735856
8,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_6.PNG,up,356.189221173,1623672625.2979531,374.431016768,1623672643.5397484
9,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_13.PNG,up,379.46545036000003,1623672648.5741818,396.536749013,1623672665.6454804
10,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_18.PNG,up,401.55864767300005,1623672670.6673791,429.545413364,1623672698.654145
11,code,/home/erb/.eegnb/tmp/materials.final/comp/final-12-2.png,down,434.59860289299996,1623672703.7073345,497.180421913,1623672766.2891536
12,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_2.PNG,up,502.21119788899995,1623672771.3199296,519.6875652430001,1623672788.7962966
13,code,/home/erb/.eegnb/tmp/materials.final/comp/final-14-1.png,down,524.7376785839999,1623672793.8464105,554.725083498,1623672823.833815
14,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_19.PNG,up,559.7601838410001,1623672828.8689156,583.2152038429999,1623672852.3239353
15,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_8.PNG,up,588.268273294,1623672857.3770053,613.593081403,1623672882.7018127
16,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_1.PNG,up,618.625539631,1623672887.734271,639.968104005,1623672909.0768356
17,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_2.PNG,up,645.0008474460001,1623672914.109579,660.1576282159999,1623672929.2663603
